Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/145,3.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/146,13.0,0,0,0,2.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/147,5.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/148,6.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/149,18.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/150,3.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/151,25.0,0,1,0,6.0,6.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/152,13.0,0,1,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/153,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/154,10.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/155,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/156,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/157,11.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/158,12.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/159,6.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/160,15.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/161,24.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/162,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/163,9.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/164,10.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/165,15.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/166,20.0,0,0,0,8.0,7.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/167,13.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/168,11.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/169,15.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/170,11.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/171,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/172,10.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/173,8.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/174,7.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/175,38.0,0,1,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/176,11.0,0,1,0,2.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/177,20.0,0,0,0,8.0,8.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/178,9.0,0,2,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/179,19.0,0,0,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/180,74.0,0,1,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/181,7.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/182,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/183,6.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/184,42.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/185,15.0,0,2,0,7.0,6.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/186,17.0,0,0,0,6.0,8.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/187,17.0,0,2,0,8.0,7.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/188,13.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/189,11.0,0,0,0,1.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/190,18.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/191,9.0,0,2,0,3.0,2.0
