Configuration,Pass1_Run1,Pass1_Run2,Pass1_Run3,Pass1_Run4,Pass1_Run5,Pass1_Run6,Pass1_Run7,Pass1_Run8,Pass1_Run9,Pass1_Run10,Mean,Std,Min,Max
FP16,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.309524,0.000000,0.309524,0.309524
AWQ,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095,0.000000,0.238095,0.238095
GPTQ,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.000000,0.214286,0.214286
GGUF,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.404762,0.000000,0.404762,0.404762
BnB,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.261905,0.000000,0.261905,0.261905
AQLM,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.452381,0.000000,0.452381,0.452381
QuIP#,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.357143,0.000000,0.357143,0.357143
