Configuration,Run,Task_ID,Pass
FP16,6,Python-46,0
FP16,6,Python-47,1
FP16,6,Python-48,0
FP16,6,Python-49,1
FP16,6,Python-50,1
FP16,6,Python-7,0
FP16,6,Python-8,0
FP16,6,Python-9,0
FP16,7,Python-10,1
FP16,7,Python-11,1
FP16,7,Python-12,0
FP16,7,Python-13,0
FP16,7,Python-14,0
FP16,7,Python-15,0
FP16,7,Python-16,0
FP16,7,Python-17,0
FP16,7,Python-18,0
FP16,7,Python-19,0
FP16,7,Python-20,0
FP16,7,Python-21,0
FP16,7,Python-22,0
FP16,7,Python-24,0
FP16,7,Python-25,1
FP16,7,Python-26,0
FP16,7,Python-27,0
FP16,7,Python-28,1
FP16,7,Python-29,0
FP16,7,Python-31,0
FP16,7,Python-32,0
FP16,7,Python-33,0
FP16,7,Python-34,1
FP16,7,Python-35,1
FP16,7,Python-36,0
FP16,7,Python-37,1
FP16,7,Python-38,1
FP16,7,Python-39,0
FP16,7,Python-40,0
FP16,7,Python-41,1
FP16,7,Python-42,0
FP16,7,Python-43,0
FP16,7,Python-44,0
FP16,7,Python-45,1
FP16,7,Python-46,0
FP16,7,Python-47,1
FP16,7,Python-48,0
FP16,7,Python-49,1
FP16,7,Python-50,1
FP16,7,Python-7,0
FP16,7,Python-8,0
FP16,7,Python-9,0
FP16,8,Python-10,1
FP16,8,Python-11,1
FP16,8,Python-12,0
FP16,8,Python-13,0
FP16,8,Python-14,0
FP16,8,Python-15,0
FP16,8,Python-16,0
FP16,8,Python-17,0
FP16,8,Python-18,0
FP16,8,Python-19,0
FP16,8,Python-20,0
FP16,8,Python-21,0
FP16,8,Python-22,0
FP16,8,Python-24,0
FP16,8,Python-25,1
FP16,8,Python-26,0
FP16,8,Python-27,0
FP16,8,Python-28,1
FP16,8,Python-29,0
FP16,8,Python-31,0
FP16,8,Python-32,0
FP16,8,Python-33,0
FP16,8,Python-34,1
FP16,8,Python-35,1
FP16,8,Python-36,0
FP16,8,Python-37,1
FP16,8,Python-38,1
FP16,8,Python-39,0
FP16,8,Python-40,0
FP16,8,Python-41,1
FP16,8,Python-42,0
FP16,8,Python-43,0
FP16,8,Python-44,0
FP16,8,Python-45,1
FP16,8,Python-46,0
FP16,8,Python-47,1
FP16,8,Python-48,0
FP16,8,Python-49,1
FP16,8,Python-50,1
FP16,8,Python-7,0
FP16,8,Python-8,0
FP16,8,Python-9,0
FP16,9,Python-10,1
FP16,9,Python-11,1
FP16,9,Python-12,0
FP16,9,Python-13,0
FP16,9,Python-14,0
FP16,9,Python-15,0
FP16,9,Python-16,0
FP16,9,Python-17,0
FP16,9,Python-18,0
FP16,9,Python-19,0
FP16,9,Python-20,0
FP16,9,Python-21,0
FP16,9,Python-22,0
FP16,9,Python-24,0
FP16,9,Python-25,1
FP16,9,Python-26,0
FP16,9,Python-27,0
FP16,9,Python-28,1
FP16,9,Python-29,0
FP16,9,Python-31,0
FP16,9,Python-32,0
FP16,9,Python-33,0
FP16,9,Python-34,1
FP16,9,Python-35,1
FP16,9,Python-36,0
FP16,9,Python-37,1
FP16,9,Python-38,1
FP16,9,Python-39,0
FP16,9,Python-40,0
FP16,9,Python-41,1
FP16,9,Python-42,0
FP16,9,Python-43,0
FP16,9,Python-44,0
FP16,9,Python-45,1
FP16,9,Python-46,0
FP16,9,Python-47,1
FP16,9,Python-48,0
FP16,9,Python-49,1
FP16,9,Python-50,1
FP16,9,Python-7,0
FP16,9,Python-8,0
FP16,9,Python-9,0
FP16,10,Python-10,1
FP16,10,Python-11,1
FP16,10,Python-12,0
FP16,10,Python-13,0
FP16,10,Python-14,0
FP16,10,Python-15,0
FP16,10,Python-16,0
FP16,10,Python-17,0
FP16,10,Python-18,0
FP16,10,Python-19,0
FP16,10,Python-20,0
FP16,10,Python-21,0
FP16,10,Python-22,0
FP16,10,Python-24,0
FP16,10,Python-25,1
FP16,10,Python-26,0
FP16,10,Python-27,0
FP16,10,Python-28,1
FP16,10,Python-29,0
FP16,10,Python-31,0
FP16,10,Python-32,0
FP16,10,Python-33,0
FP16,10,Python-34,1
FP16,10,Python-35,1
FP16,10,Python-36,0
FP16,10,Python-37,1
FP16,10,Python-38,1
FP16,10,Python-39,0
FP16,10,Python-40,0
FP16,10,Python-41,1
FP16,10,Python-42,0
FP16,10,Python-43,0
FP16,10,Python-44,0
FP16,10,Python-45,1
FP16,10,Python-46,0
FP16,10,Python-47,1
FP16,10,Python-48,0
FP16,10,Python-49,1
FP16,10,Python-50,1
FP16,10,Python-7,0
FP16,10,Python-8,0
FP16,10,Python-9,0
AWQ,1,Python-10,1
AWQ,1,Python-11,0
AWQ,1,Python-12,0
AWQ,1,Python-13,0
AWQ,1,Python-14,0
AWQ,1,Python-15,0
AWQ,1,Python-16,0
AWQ,1,Python-17,0
AWQ,1,Python-18,0
AWQ,1,Python-19,0
AWQ,1,Python-20,0
AWQ,1,Python-21,0
AWQ,1,Python-22,0
