Configuration,Run,Task_ID,Pass
AWQ,1,Python-24,0
AWQ,1,Python-25,0
AWQ,1,Python-26,0
AWQ,1,Python-27,0
AWQ,1,Python-28,1
AWQ,1,Python-29,0
AWQ,1,Python-31,0
AWQ,1,Python-32,0
AWQ,1,Python-33,0
AWQ,1,Python-34,1
AWQ,1,Python-35,0
AWQ,1,Python-36,0
AWQ,1,Python-37,1
AWQ,1,Python-38,1
AWQ,1,Python-39,0
AWQ,1,Python-40,0
AWQ,1,Python-41,1
AWQ,1,Python-42,0
AWQ,1,Python-43,1
AWQ,1,Python-44,0
AWQ,1,Python-45,1
AWQ,1,Python-46,0
AWQ,1,Python-47,1
AWQ,1,Python-48,0
AWQ,1,Python-49,1
AWQ,1,Python-50,0
AWQ,1,Python-7,0
AWQ,1,Python-8,0
AWQ,1,Python-9,0
AWQ,2,Python-10,1
AWQ,2,Python-11,0
AWQ,2,Python-12,0
AWQ,2,Python-13,0
AWQ,2,Python-14,0
AWQ,2,Python-15,0
AWQ,2,Python-16,0
AWQ,2,Python-17,0
AWQ,2,Python-18,0
AWQ,2,Python-19,0
AWQ,2,Python-20,0
AWQ,2,Python-21,0
AWQ,2,Python-22,0
AWQ,2,Python-24,0
AWQ,2,Python-25,0
AWQ,2,Python-26,0
AWQ,2,Python-27,0
AWQ,2,Python-28,1
AWQ,2,Python-29,0
AWQ,2,Python-31,0
AWQ,2,Python-32,0
AWQ,2,Python-33,0
AWQ,2,Python-34,1
AWQ,2,Python-35,0
AWQ,2,Python-36,0
AWQ,2,Python-37,1
AWQ,2,Python-38,1
AWQ,2,Python-39,0
AWQ,2,Python-40,0
AWQ,2,Python-41,1
AWQ,2,Python-42,0
AWQ,2,Python-43,1
AWQ,2,Python-44,0
AWQ,2,Python-45,1
AWQ,2,Python-46,0
AWQ,2,Python-47,1
AWQ,2,Python-48,0
AWQ,2,Python-49,1
AWQ,2,Python-50,0
AWQ,2,Python-7,0
AWQ,2,Python-8,0
AWQ,2,Python-9,0
AWQ,3,Python-10,1
AWQ,3,Python-11,0
AWQ,3,Python-12,0
AWQ,3,Python-13,0
AWQ,3,Python-14,0
AWQ,3,Python-15,0
AWQ,3,Python-16,0
AWQ,3,Python-17,0
AWQ,3,Python-18,0
AWQ,3,Python-19,0
AWQ,3,Python-20,0
AWQ,3,Python-21,0
AWQ,3,Python-22,0
AWQ,3,Python-24,0
AWQ,3,Python-25,0
AWQ,3,Python-26,0
AWQ,3,Python-27,0
AWQ,3,Python-28,1
AWQ,3,Python-29,0
AWQ,3,Python-31,0
AWQ,3,Python-32,0
AWQ,3,Python-33,0
AWQ,3,Python-34,1
AWQ,3,Python-35,0
AWQ,3,Python-36,0
AWQ,3,Python-37,1
AWQ,3,Python-38,1
AWQ,3,Python-39,0
AWQ,3,Python-40,0
AWQ,3,Python-41,1
AWQ,3,Python-42,0
AWQ,3,Python-43,1
AWQ,3,Python-44,0
AWQ,3,Python-45,1
AWQ,3,Python-46,0
AWQ,3,Python-47,1
AWQ,3,Python-48,0
AWQ,3,Python-49,1
AWQ,3,Python-50,0
AWQ,3,Python-7,0
AWQ,3,Python-8,0
AWQ,3,Python-9,0
AWQ,4,Python-10,1
AWQ,4,Python-11,0
AWQ,4,Python-12,0
AWQ,4,Python-13,0
AWQ,4,Python-14,0
AWQ,4,Python-15,0
AWQ,4,Python-16,0
AWQ,4,Python-17,0
AWQ,4,Python-18,0
AWQ,4,Python-19,0
AWQ,4,Python-20,0
AWQ,4,Python-21,0
AWQ,4,Python-22,0
AWQ,4,Python-24,0
AWQ,4,Python-25,0
AWQ,4,Python-26,0
AWQ,4,Python-27,0
AWQ,4,Python-28,1
AWQ,4,Python-29,0
AWQ,4,Python-31,0
AWQ,4,Python-32,0
AWQ,4,Python-33,0
AWQ,4,Python-34,1
AWQ,4,Python-35,0
AWQ,4,Python-36,0
AWQ,4,Python-37,1
AWQ,4,Python-38,1
AWQ,4,Python-39,0
AWQ,4,Python-40,0
AWQ,4,Python-41,1
AWQ,4,Python-42,0
AWQ,4,Python-43,1
AWQ,4,Python-44,0
AWQ,4,Python-45,1
AWQ,4,Python-46,0
AWQ,4,Python-47,1
AWQ,4,Python-48,0
AWQ,4,Python-49,1
AWQ,4,Python-50,0
AWQ,4,Python-7,0
AWQ,4,Python-8,0
AWQ,4,Python-9,0
AWQ,5,Python-10,1
AWQ,5,Python-11,0
AWQ,5,Python-12,0
AWQ,5,Python-13,0
AWQ,5,Python-14,0
AWQ,5,Python-15,0
AWQ,5,Python-16,0
AWQ,5,Python-17,0
AWQ,5,Python-18,0
AWQ,5,Python-19,0
AWQ,5,Python-20,0
AWQ,5,Python-21,0
AWQ,5,Python-22,0
AWQ,5,Python-24,0
AWQ,5,Python-25,0
AWQ,5,Python-26,0
AWQ,5,Python-27,0
AWQ,5,Python-28,1
AWQ,5,Python-29,0
AWQ,5,Python-31,0
AWQ,5,Python-32,0
AWQ,5,Python-33,0
AWQ,5,Python-34,1
AWQ,5,Python-35,0
AWQ,5,Python-36,0
AWQ,5,Python-37,1
AWQ,5,Python-38,1
AWQ,5,Python-39,0
AWQ,5,Python-40,0
AWQ,5,Python-41,1
AWQ,5,Python-42,0
AWQ,5,Python-43,1
AWQ,5,Python-44,0
AWQ,5,Python-45,1
AWQ,5,Python-46,0
AWQ,5,Python-47,1
AWQ,5,Python-48,0
AWQ,5,Python-49,1
AWQ,5,Python-50,0
AWQ,5,Python-7,0
AWQ,5,Python-8,0
AWQ,5,Python-9,0
AWQ,6,Python-10,1
AWQ,6,Python-11,0
AWQ,6,Python-12,0
AWQ,6,Python-13,0
AWQ,6,Python-14,0
AWQ,6,Python-15,0
AWQ,6,Python-16,0
AWQ,6,Python-17,0
AWQ,6,Python-18,0
AWQ,6,Python-19,0
AWQ,6,Python-20,0
AWQ,6,Python-21,0
AWQ,6,Python-22,0
AWQ,6,Python-24,0
AWQ,6,Python-25,0
AWQ,6,Python-26,0
AWQ,6,Python-27,0
AWQ,6,Python-28,1
AWQ,6,Python-29,0
AWQ,6,Python-31,0
AWQ,6,Python-32,0
AWQ,6,Python-33,0
AWQ,6,Python-34,1
AWQ,6,Python-35,0
AWQ,6,Python-36,0
AWQ,6,Python-37,1
AWQ,6,Python-38,1
AWQ,6,Python-39,0
AWQ,6,Python-40,0
AWQ,6,Python-41,1
AWQ,6,Python-42,0
AWQ,6,Python-43,1
AWQ,6,Python-44,0
AWQ,6,Python-45,1
AWQ,6,Python-46,0
AWQ,6,Python-47,1
AWQ,6,Python-48,0
AWQ,6,Python-49,1
AWQ,6,Python-50,0
AWQ,6,Python-7,0
AWQ,6,Python-8,0
AWQ,6,Python-9,0
AWQ,7,Python-10,1
AWQ,7,Python-11,0
AWQ,7,Python-12,0
AWQ,7,Python-13,0
AWQ,7,Python-14,0
AWQ,7,Python-15,0
AWQ,7,Python-16,0
AWQ,7,Python-17,0
AWQ,7,Python-18,0
AWQ,7,Python-19,0
AWQ,7,Python-20,0
AWQ,7,Python-21,0
AWQ,7,Python-22,0
AWQ,7,Python-24,0
AWQ,7,Python-25,0
AWQ,7,Python-26,0
AWQ,7,Python-27,0
AWQ,7,Python-28,1
AWQ,7,Python-29,0
AWQ,7,Python-31,0
AWQ,7,Python-32,0
AWQ,7,Python-33,0
AWQ,7,Python-34,1
AWQ,7,Python-35,0
AWQ,7,Python-36,0
AWQ,7,Python-37,1
AWQ,7,Python-38,1
AWQ,7,Python-39,0
AWQ,7,Python-40,0
AWQ,7,Python-41,1
AWQ,7,Python-42,0
AWQ,7,Python-43,1
AWQ,7,Python-44,0
AWQ,7,Python-45,1
AWQ,7,Python-46,0
AWQ,7,Python-47,1
AWQ,7,Python-48,0
AWQ,7,Python-49,1
AWQ,7,Python-50,0
AWQ,7,Python-7,0
AWQ,7,Python-8,0
AWQ,7,Python-9,0
AWQ,8,Python-10,1
AWQ,8,Python-11,0
AWQ,8,Python-12,0
AWQ,8,Python-13,0
AWQ,8,Python-14,0
AWQ,8,Python-15,0
AWQ,8,Python-16,0
AWQ,8,Python-17,0
AWQ,8,Python-18,0
AWQ,8,Python-19,0
AWQ,8,Python-20,0
AWQ,8,Python-21,0
AWQ,8,Python-22,0
AWQ,8,Python-24,0
AWQ,8,Python-25,0
AWQ,8,Python-26,0
AWQ,8,Python-27,0
AWQ,8,Python-28,1
AWQ,8,Python-29,0
AWQ,8,Python-31,0
AWQ,8,Python-32,0
AWQ,8,Python-33,0
AWQ,8,Python-34,1
AWQ,8,Python-35,0
AWQ,8,Python-36,0
AWQ,8,Python-37,1
AWQ,8,Python-38,1
AWQ,8,Python-39,0
AWQ,8,Python-40,0
AWQ,8,Python-41,1
AWQ,8,Python-42,0
AWQ,8,Python-43,1
AWQ,8,Python-44,0
AWQ,8,Python-45,1
AWQ,8,Python-46,0
AWQ,8,Python-47,1
AWQ,8,Python-48,0
AWQ,8,Python-49,1
AWQ,8,Python-50,0
AWQ,8,Python-7,0
AWQ,8,Python-8,0
AWQ,8,Python-9,0
AWQ,9,Python-10,1
AWQ,9,Python-11,0
AWQ,9,Python-12,0
AWQ,9,Python-13,0
AWQ,9,Python-14,0
AWQ,9,Python-15,0
AWQ,9,Python-16,0
AWQ,9,Python-17,0
AWQ,9,Python-18,0
AWQ,9,Python-19,0
AWQ,9,Python-20,0
AWQ,9,Python-21,0
AWQ,9,Python-22,0
AWQ,9,Python-24,0
AWQ,9,Python-25,0
AWQ,9,Python-26,0
AWQ,9,Python-27,0
AWQ,9,Python-28,1
AWQ,9,Python-29,0
AWQ,9,Python-31,0
AWQ,9,Python-32,0
AWQ,9,Python-33,0
AWQ,9,Python-34,1
AWQ,9,Python-35,0
AWQ,9,Python-36,0
AWQ,9,Python-37,1
AWQ,9,Python-38,1
AWQ,9,Python-39,0
AWQ,9,Python-40,0
AWQ,9,Python-41,1
AWQ,9,Python-42,0
AWQ,9,Python-43,1
AWQ,9,Python-44,0
AWQ,9,Python-45,1
AWQ,9,Python-46,0
AWQ,9,Python-47,1
AWQ,9,Python-48,0
AWQ,9,Python-49,1
AWQ,9,Python-50,0
AWQ,9,Python-7,0
AWQ,9,Python-8,0
AWQ,9,Python-9,0
AWQ,10,Python-10,1
AWQ,10,Python-11,0
AWQ,10,Python-12,0
AWQ,10,Python-13,0
AWQ,10,Python-14,0
AWQ,10,Python-15,0
AWQ,10,Python-16,0
AWQ,10,Python-17,0
AWQ,10,Python-18,0
AWQ,10,Python-19,0
AWQ,10,Python-20,0
AWQ,10,Python-21,0
AWQ,10,Python-22,0
AWQ,10,Python-24,0
AWQ,10,Python-25,0
AWQ,10,Python-26,0
AWQ,10,Python-27,0
AWQ,10,Python-28,1
AWQ,10,Python-29,0
AWQ,10,Python-31,0
AWQ,10,Python-32,0
AWQ,10,Python-33,0
AWQ,10,Python-34,1
AWQ,10,Python-35,0
AWQ,10,Python-36,0
AWQ,10,Python-37,1
AWQ,10,Python-38,1
AWQ,10,Python-39,0
AWQ,10,Python-40,0
AWQ,10,Python-41,1
AWQ,10,Python-42,0
AWQ,10,Python-43,1
AWQ,10,Python-44,0
AWQ,10,Python-45,1
AWQ,10,Python-46,0
AWQ,10,Python-47,1
AWQ,10,Python-48,0
AWQ,10,Python-49,1
AWQ,10,Python-50,0
AWQ,10,Python-7,0
AWQ,10,Python-8,0
AWQ,10,Python-9,0
GPTQ,1,Python-10,1
GPTQ,1,Python-11,0
GPTQ,1,Python-12,0
GPTQ,1,Python-13,1
GPTQ,1,Python-14,0
GPTQ,1,Python-15,0
GPTQ,1,Python-16,0
GPTQ,1,Python-17,0
GPTQ,1,Python-18,0
GPTQ,1,Python-19,0
GPTQ,1,Python-20,0
GPTQ,1,Python-21,0
GPTQ,1,Python-22,0
GPTQ,1,Python-24,0
GPTQ,1,Python-25,0
GPTQ,1,Python-26,0
GPTQ,1,Python-27,0
GPTQ,1,Python-28,1
GPTQ,1,Python-29,0
GPTQ,1,Python-31,0
GPTQ,1,Python-32,0
GPTQ,1,Python-33,0
GPTQ,1,Python-34,1
GPTQ,1,Python-35,0
GPTQ,1,Python-36,0
GPTQ,1,Python-37,0
GPTQ,1,Python-38,0
GPTQ,1,Python-39,0
GPTQ,1,Python-40,0
GPTQ,1,Python-41,1
GPTQ,1,Python-42,0
GPTQ,1,Python-43,0
GPTQ,1,Python-44,0
GPTQ,1,Python-45,1
GPTQ,1,Python-46,0
GPTQ,1,Python-47,1
GPTQ,1,Python-48,0
GPTQ,1,Python-49,1
GPTQ,1,Python-50,1
GPTQ,1,Python-7,0
GPTQ,1,Python-8,0
GPTQ,1,Python-9,0
GPTQ,2,Python-10,1
GPTQ,2,Python-11,0
GPTQ,2,Python-12,0
GPTQ,2,Python-13,1
GPTQ,2,Python-14,0
GPTQ,2,Python-15,0
GPTQ,2,Python-16,0
GPTQ,2,Python-17,0
GPTQ,2,Python-18,0
GPTQ,2,Python-19,0
GPTQ,2,Python-20,0
GPTQ,2,Python-21,0
GPTQ,2,Python-22,0
GPTQ,2,Python-24,0
GPTQ,2,Python-25,0
GPTQ,2,Python-26,0
GPTQ,2,Python-27,0
GPTQ,2,Python-28,1
GPTQ,2,Python-29,0
GPTQ,2,Python-31,0
GPTQ,2,Python-32,0
GPTQ,2,Python-33,0
GPTQ,2,Python-34,1
GPTQ,2,Python-35,0
GPTQ,2,Python-36,0
GPTQ,2,Python-37,0
GPTQ,2,Python-38,0
GPTQ,2,Python-39,0
GPTQ,2,Python-40,0
GPTQ,2,Python-41,1
GPTQ,2,Python-42,0
GPTQ,2,Python-43,0
GPTQ,2,Python-44,0
GPTQ,2,Python-45,1
GPTQ,2,Python-46,0
GPTQ,2,Python-47,1
GPTQ,2,Python-48,0
GPTQ,2,Python-49,1
GPTQ,2,Python-50,1
GPTQ,2,Python-7,0
GPTQ,2,Python-8,0
GPTQ,2,Python-9,0
GPTQ,3,Python-10,1
GPTQ,3,Python-11,0
GPTQ,3,Python-12,0
GPTQ,3,Python-13,1
GPTQ,3,Python-14,0
GPTQ,3,Python-15,0
GPTQ,3,Python-16,0
GPTQ,3,Python-17,0
GPTQ,3,Python-18,0
GPTQ,3,Python-19,0
GPTQ,3,Python-20,0
GPTQ,3,Python-21,0
GPTQ,3,Python-22,0
GPTQ,3,Python-24,0
GPTQ,3,Python-25,0
GPTQ,3,Python-26,0
GPTQ,3,Python-27,0
GPTQ,3,Python-28,1
GPTQ,3,Python-29,0
GPTQ,3,Python-31,0
GPTQ,3,Python-32,0
GPTQ,3,Python-33,0
GPTQ,3,Python-34,1
GPTQ,3,Python-35,0
GPTQ,3,Python-36,0
GPTQ,3,Python-37,0
GPTQ,3,Python-38,0
GPTQ,3,Python-39,0
GPTQ,3,Python-40,0
GPTQ,3,Python-41,1
GPTQ,3,Python-42,0
GPTQ,3,Python-43,0
GPTQ,3,Python-44,0
GPTQ,3,Python-45,1
GPTQ,3,Python-46,0
GPTQ,3,Python-47,1
GPTQ,3,Python-48,0
GPTQ,3,Python-49,1
GPTQ,3,Python-50,1
GPTQ,3,Python-7,0
GPTQ,3,Python-8,0
GPTQ,3,Python-9,0
GPTQ,4,Python-10,1
GPTQ,4,Python-11,0
GPTQ,4,Python-12,0
GPTQ,4,Python-13,1
GPTQ,4,Python-14,0
GPTQ,4,Python-15,0
GPTQ,4,Python-16,0
GPTQ,4,Python-17,0
GPTQ,4,Python-18,0
GPTQ,4,Python-19,0
GPTQ,4,Python-20,0
GPTQ,4,Python-21,0
GPTQ,4,Python-22,0
GPTQ,4,Python-24,0
GPTQ,4,Python-25,0
GPTQ,4,Python-26,0
GPTQ,4,Python-27,0
GPTQ,4,Python-28,1
GPTQ,4,Python-29,0
GPTQ,4,Python-31,0
GPTQ,4,Python-32,0
GPTQ,4,Python-33,0
GPTQ,4,Python-34,1
GPTQ,4,Python-35,0
GPTQ,4,Python-36,0
GPTQ,4,Python-37,0
GPTQ,4,Python-38,0
GPTQ,4,Python-39,0
GPTQ,4,Python-40,0
GPTQ,4,Python-41,1
GPTQ,4,Python-42,0
GPTQ,4,Python-43,0
GPTQ,4,Python-44,0
GPTQ,4,Python-45,1
GPTQ,4,Python-46,0
GPTQ,4,Python-47,1
GPTQ,4,Python-48,0
GPTQ,4,Python-49,1
GPTQ,4,Python-50,1
GPTQ,4,Python-7,0
GPTQ,4,Python-8,0
GPTQ,4,Python-9,0
GPTQ,5,Python-10,1
GPTQ,5,Python-11,0
GPTQ,5,Python-12,0
GPTQ,5,Python-13,1
GPTQ,5,Python-14,0
