Configuration,Peak_VRAM_GB,Model_Load_Time_s,Avg_Latency_s,Throughput_tok_per_s
FP16,14.227197170257568,3.9515981674194336,6.283555085842426,43.2263871175993
AWQ,5.247395992279053,3.0485422611236572,6.045886357625325,40.7227515771288
GPTQ,5.378568649291992,1.7546567916870117,3.121591806411743,71.47076810116937
GGUF,28.643956184387207,70.80768847465515,13.21425217237228,23.133530653473862
BnB,5.585918426513672,3.0047199726104736,5.526239230082585,48.15719950730907
AQLM,5.399343490600586,1.556779146194458,10.573338594192114,36.84400145646412
QuIP#,5.210968017578125,5.273687124252319,13.40911833445231,24.37491755191552
