TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/112,10.0,0,0,0,3.0,2.0
BigCodeBench/113,16.0,0,0,0,5.0,4.0
BigCodeBench/114,10.0,0,0,0,3.0,2.0
BigCodeBench/115,9.0,0,0,0,2.0,1.0
BigCodeBench/116,10.0,0,1,0,1.0,0.0
BigCodeBench/117,16.0,0,2,0,4.0,3.0
BigCodeBench/118,12.0,0,0,0,4.0,4.0
BigCodeBench/119,11.0,0,0,0,1.0,0.0
BigCodeBench/120,15.0,0,0,0,4.0,3.0
BigCodeBench/121,15.0,0,2,0,2.0,1.0
BigCodeBench/122,5.0,0,1,0,1.0,0.0
BigCodeBench/123,13.0,0,0,0,4.0,3.0
BigCodeBench/124,26.0,0,1,0,6.0,6.0
BigCodeBench/125,5.0,0,2,0,1.0,0.0
BigCodeBench/126,18.0,0,1,0,4.0,4.0
BigCodeBench/127,16.0,0,3,0,5.0,5.0
BigCodeBench/128,17.0,0,1,0,2.0,1.0
BigCodeBench/129,31.0,0,1,0,6.0,9.0
BigCodeBench/130,9.0,0,0,0,1.0,0.0
BigCodeBench/131,9.0,0,0,0,1.0,0.0
BigCodeBench/132,14.0,0,1,0,2.0,1.0
BigCodeBench/133,13.0,0,0,0,3.0,2.0
BigCodeBench/134,12.0,0,0,0,3.0,2.0
BigCodeBench/135,94.0,0,1,0,45.0,44.0
BigCodeBench/136,13.0,0,3,0,3.0,2.0
BigCodeBench/137,8.0,0,0,0,3.0,2.0
BigCodeBench/138,15.0,0,0,0,3.0,2.0
BigCodeBench/139,13.0,0,0,0,5.0,4.0
BigCodeBench/140,12.0,0,0,0,4.0,3.0
BigCodeBench/141,12.0,0,1,0,4.0,3.0
BigCodeBench/142,16.0,0,0,0,1.0,0.0
BigCodeBench/143,12.0,0,0,0,1.0,0.0
BigCodeBench/144,16.0,0,0,0,3.0,6.0
BigCodeBench/145,3.0,0,1,0,1.0,0.0
BigCodeBench/146,13.0,0,0,0,2.0,4.0
BigCodeBench/147,5.0,0,1,0,1.0,0.0
BigCodeBench/148,6.0,0,0,0,1.0,0.0
BigCodeBench/149,18.0,0,0,0,2.0,2.0
BigCodeBench/150,3.0,0,1,0,1.0,0.0
BigCodeBench/151,25.0,0,1,0,6.0,6.0
BigCodeBench/152,13.0,0,1,0,3.0,3.0
BigCodeBench/153,8.0,0,0,0,1.0,0.0
BigCodeBench/154,10.0,0,0,0,3.0,3.0
BigCodeBench/155,8.0,0,0,0,1.0,0.0
BigCodeBench/156,11.0,0,0,0,1.0,0.0
BigCodeBench/157,11.0,0,0,0,3.0,3.0
BigCodeBench/158,12.0,0,1,0,1.0,0.0
BigCodeBench/159,6.0,0,1,0,1.0,0.0
BigCodeBench/160,15.0,0,0,0,3.0,3.0
BigCodeBench/161,24.0,0,0,0,4.0,4.0
BigCodeBench/162,11.0,0,0,0,1.0,0.0
BigCodeBench/163,9.0,0,1,0,2.0,1.0
BigCodeBench/164,10.0,0,1,0,1.0,0.0
BigCodeBench/165,15.0,0,0,0,1.0,0.0
BigCodeBench/166,20.0,0,0,0,8.0,7.0
BigCodeBench/167,13.0,0,0,0,1.0,0.0
BigCodeBench/168,11.0,0,1,0,2.0,1.0
BigCodeBench/169,15.0,0,1,0,3.0,2.0
BigCodeBench/170,11.0,0,1,0,2.0,1.0
BigCodeBench/171,11.0,0,0,0,1.0,0.0
BigCodeBench/172,10.0,0,0,0,3.0,3.0
BigCodeBench/173,8.0,0,1,0,1.0,0.0
BigCodeBench/174,7.0,0,1,0,2.0,1.0
BigCodeBench/175,38.0,0,1,0,4.0,3.0
BigCodeBench/176,11.0,0,1,0,2.0,3.0
BigCodeBench/177,20.0,0,0,0,8.0,8.0
BigCodeBench/178,9.0,0,2,0,2.0,2.0
BigCodeBench/179,19.0,0,0,0,4.0,3.0
