TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/112,16.0,0,1,0,3.0,2.0
BigCodeBench/113,18.0,0,0,0,5.0,4.0
BigCodeBench/114,12.0,0,0,0,3.0,2.0
BigCodeBench/115,12.0,0,0,0,2.0,1.0
BigCodeBench/116,13.0,0,1,0,1.0,0.0
BigCodeBench/117,13.0,0,4,0,2.0,1.0
BigCodeBench/118,15.0,0,0,0,4.0,2.0
BigCodeBench/119,12.0,0,1,0,1.0,0.0
BigCodeBench/120,17.0,0,0,0,6.0,5.0
BigCodeBench/121,17.0,0,2,0,3.0,2.0
BigCodeBench/122,8.0,0,1,0,1.0,0.0
BigCodeBench/123,14.0,0,0,0,3.0,2.0
BigCodeBench/124,26.0,1,2,0,5.0,5.0
BigCodeBench/125,16.0,0,1,0,3.0,3.0
BigCodeBench/126,32.0,0,1,0,4.0,4.0
BigCodeBench/127,22.0,0,3,0,6.0,6.0
BigCodeBench/128,15.0,0,3,0,1.0,0.0
BigCodeBench/129,16.0,0,0,0,1.0,1.0
BigCodeBench/130,12.0,0,1,0,1.0,0.0
BigCodeBench/131,12.0,0,1,0,1.0,0.0
BigCodeBench/132,23.0,0,2,0,6.0,5.0
BigCodeBench/133,19.0,0,1,0,3.0,2.0
BigCodeBench/134,14.0,0,0,0,3.0,2.0
BigCodeBench/135,13.0,0,0,0,3.0,2.0
BigCodeBench/136,18.0,0,4,0,3.0,2.0
BigCodeBench/137,9.0,0,0,0,3.0,2.0
BigCodeBench/138,15.0,0,1,0,3.0,2.0
BigCodeBench/139,14.0,0,0,0,5.0,4.0
BigCodeBench/140,13.0,0,0,0,4.0,3.0
BigCodeBench/141,15.0,0,1,0,3.0,2.0
BigCodeBench/142,18.0,0,0,0,1.0,0.0
BigCodeBench/143,14.0,0,2,0,1.0,0.0
BigCodeBench/144,18.0,0,0,0,3.0,6.0
BigCodeBench/145,12.0,0,0,0,2.0,1.0
BigCodeBench/146,16.0,0,0,0,3.0,6.0
BigCodeBench/147,17.0,0,0,0,2.0,4.0
BigCodeBench/148,10.0,0,0,0,1.0,0.0
BigCodeBench/149,10.0,0,0,0,2.0,1.0
BigCodeBench/150,22.0,0,3,0,2.0,1.0
BigCodeBench/151,21.0,0,1,0,4.0,3.0
BigCodeBench/152,10.0,0,1,0,1.0,0.0
BigCodeBench/153,8.0,0,0,0,1.0,0.0
BigCodeBench/154,18.0,0,0,0,5.0,6.0
BigCodeBench/155,18.0,0,1,0,1.0,0.0
BigCodeBench/156,15.0,0,1,0,1.0,0.0
BigCodeBench/157,11.0,0,0,0,4.0,3.0
BigCodeBench/158,13.0,0,0,0,1.0,0.0
BigCodeBench/159,9.0,0,1,0,1.0,0.0
BigCodeBench/160,16.0,0,0,0,3.0,3.0
BigCodeBench/161,17.0,0,0,0,3.0,2.0
BigCodeBench/162,16.0,0,2,0,3.0,1.0
BigCodeBench/163,15.0,0,1,0,2.0,1.0
BigCodeBench/164,12.0,0,1,0,1.0,0.0
BigCodeBench/165,19.0,0,0,0,1.0,0.0
BigCodeBench/166,21.0,0,0,0,8.0,9.0
BigCodeBench/167,16.0,0,0,0,1.0,0.0
BigCodeBench/168,19.0,0,1,0,1.0,0.0
BigCodeBench/169,16.0,0,2,0,3.0,2.0
BigCodeBench/170,10.0,0,1,0,2.0,1.0
BigCodeBench/171,28.0,0,1,0,5.0,5.0
BigCodeBench/172,12.0,0,0,0,2.0,2.0
BigCodeBench/173,8.0,0,1,0,1.0,0.0
BigCodeBench/174,9.0,0,1,0,2.0,1.0
BigCodeBench/175,20.0,0,1,0,3.0,2.0
BigCodeBench/176,12.0,0,0,0,2.0,3.0
BigCodeBench/177,29.0,0,1,0,13.0,16.0
BigCodeBench/178,8.0,0,2,0,2.0,1.0
BigCodeBench/179,24.0,0,0,0,6.0,6.0
BigCodeBench/180,19.0,0,1,0,3.0,2.0
BigCodeBench/181,11.0,0,0,0,1.0,0.0
BigCodeBench/182,17.0,0,1,0,1.0,0.0
BigCodeBench/183,12.0,0,0,0,1.0,0.0
BigCodeBench/184,21.0,0,0,0,2.0,0.0
BigCodeBench/185,14.0,0,5,0,4.0,3.0
BigCodeBench/186,15.0,0,1,0,5.0,7.0
BigCodeBench/187,11.0,0,4,0,3.0,2.0
BigCodeBench/188,22.0,0,0,0,4.0,7.0
BigCodeBench/189,27.0,0,2,0,9.0,32.0
BigCodeBench/190,25.0,0,0,0,4.0,6.0
BigCodeBench/191,12.0,0,1,0,3.0,4.0
BigCodeBench/192,18.0,1,1,0,2.0,1.0
BigCodeBench/193,26.0,0,13,0,3.0,9.0
BigCodeBench/194,8.0,0,2,0,1.0,0.0
BigCodeBench/195,12.0,0,0,0,2.0,3.0
BigCodeBench/196,13.0,0,1,0,2.0,1.0
BigCodeBench/197,18.0,0,2,0,1.0,0.0
BigCodeBench/198,15.0,0,0,0,3.0,1.0
BigCodeBench/199,49.0,0,1,0,7.0,6.0
BigCodeBench/200,13.0,0,0,0,3.0,0.0
BigCodeBench/201,20.0,0,1,0,3.0,2.0
BigCodeBench/202,14.0,0,1,0,4.0,6.0
BigCodeBench/203,21.0,1,1,0,3.0,2.0
BigCodeBench/204,15.0,0,2,0,1.0,0.0
BigCodeBench/205,12.0,0,1,0,3.0,1.0
BigCodeBench/206,13.0,0,0,0,2.0,1.0
BigCodeBench/207,7.0,0,1,0,1.0,0.0
BigCodeBench/208,15.0,0,3,0,3.0,2.0
BigCodeBench/209,17.0,1,1,0,1.0,0.0
BigCodeBench/210,17.0,0,1,0,1.0,0.0
BigCodeBench/211,13.0,0,0,0,2.0,1.0
BigCodeBench/212,13.0,0,1,0,1.0,0.0
BigCodeBench/213,17.0,0,2,0,2.0,1.0
BigCodeBench/214,17.0,0,2,0,2.0,1.0
BigCodeBench/215,22.0,0,3,0,4.0,3.0
BigCodeBench/216,18.0,0,0,0,2.0,1.0
BigCodeBench/217,18.0,0,1,0,1.0,0.0
BigCodeBench/218,27.0,0,2,0,4.0,4.0
BigCodeBench/219,14.0,0,0,0,1.0,0.0
BigCodeBench/220,112.0,1,1,0,2.0,1.0
BigCodeBench/221,30.0,0,1,0,5.0,7.0
BigCodeBench/222,13.0,0,1,0,1.0,0.0
BigCodeBench/223,24.0,0,0,0,5.0,4.0
BigCodeBench/224,21.0,0,1,0,1.0,0.0
BigCodeBench/225,16.0,0,0,0,5.0,5.0
BigCodeBench/226,7.0,0,0,0,1.0,0.0
BigCodeBench/227,24.0,0,3,0,2.0,1.0
BigCodeBench/228,22.0,0,0,0,2.0,1.0
BigCodeBench/229,16.0,0,0,0,3.0,2.0
BigCodeBench/230,23.0,0,1,0,2.0,1.0
BigCodeBench/231,27.0,0,1,0,3.0,2.0
BigCodeBench/232,18.0,0,0,0,2.0,1.0
BigCodeBench/233,24.0,0,1,0,3.0,2.0
BigCodeBench/234,20.0,0,3,0,2.0,1.0
BigCodeBench/235,18.0,0,1,0,1.0,0.0
BigCodeBench/236,18.0,0,1,0,2.0,1.0
BigCodeBench/237,21.0,0,3,0,4.0,3.0
BigCodeBench/238,20.0,0,1,0,1.0,0.0
BigCodeBench/239,18.0,0,3,0,2.0,0.0
BigCodeBench/240,7.0,0,0,0,1.0,0.0
BigCodeBench/241,13.0,0,1,0,1.0,0.0
BigCodeBench/242,17.0,0,1,0,4.0,3.0
BigCodeBench/243,12.0,0,0,0,2.0,2.0
BigCodeBench/244,12.0,0,1,0,2.0,1.0
BigCodeBench/245,10.0,0,0,0,1.0,0.0
BigCodeBench/246,17.0,0,1,0,4.0,3.0
BigCodeBench/247,12.0,0,0,0,2.0,1.0
BigCodeBench/248,15.0,0,1,0,2.0,1.0
BigCodeBench/249,10.0,0,1,0,1.0,0.0
BigCodeBench/250,10.0,0,0,0,2.0,1.0
BigCodeBench/251,11.0,0,0,0,2.0,1.0
BigCodeBench/252,21.0,0,1,0,4.0,5.0
BigCodeBench/253,14.0,0,1,0,2.0,1.0
BigCodeBench/254,7.0,0,0,0,1.0,0.0
BigCodeBench/255,15.0,0,0,0,2.0,1.0
BigCodeBench/256,17.0,0,3,0,3.0,2.0
BigCodeBench/257,52.0,0,1,0,1.0,0.0
BigCodeBench/258,19.0,0,0,0,1.0,0.0
BigCodeBench/259,14.0,0,1,0,3.0,2.0
BigCodeBench/260,17.0,0,0,0,3.0,3.0
BigCodeBench/261,14.0,0,0,0,3.0,2.0
BigCodeBench/262,13.0,0,0,0,1.0,0.0
BigCodeBench/263,18.0,0,0,0,5.0,7.0
BigCodeBench/264,22.0,0,2,0,2.0,1.0
BigCodeBench/265,11.0,0,0,0,1.0,0.0
BigCodeBench/266,16.0,0,0,0,4.0,4.0
BigCodeBench/267,15.0,0,1,0,2.0,1.0
BigCodeBench/268,10.0,0,1,0,2.0,1.0
BigCodeBench/269,19.0,0,1,0,1.0,0.0
BigCodeBench/270,7.0,0,0,0,1.0,0.0
BigCodeBench/271,12.0,0,1,0,2.0,1.0
BigCodeBench/272,3.0,0,0,0,0.0,0.0
BigCodeBench/273,3.0,0,0,0,0.0,0.0
BigCodeBench/274,36.0,0,2,0,7.0,6.0
BigCodeBench/275,6.0,0,0,0,2.0,1.0
BigCodeBench/276,16.0,0,2,0,1.0,0.0
BigCodeBench/277,15.0,0,0,0,4.0,4.0
BigCodeBench/278,10.0,0,4,0,1.0,0.0
BigCodeBench/279,12.0,0,0,0,3.0,3.0
BigCodeBench/280,17.0,1,2,0,1.0,0.0
BigCodeBench/281,14.0,0,0,0,6.0,15.0
BigCodeBench/282,23.0,0,0,0,3.0,1.0
BigCodeBench/283,11.0,0,0,0,2.0,1.0
BigCodeBench/284,16.0,0,0,0,3.0,3.0
BigCodeBench/285,18.0,0,0,0,3.0,3.0
BigCodeBench/286,22.0,0,0,0,5.0,5.0
BigCodeBench/287,16.0,0,0,0,3.0,3.0
BigCodeBench/288,12.0,0,0,0,3.0,3.0
BigCodeBench/289,29.0,0,2,0,2.0,1.0
BigCodeBench/290,16.0,0,0,0,4.0,3.0
BigCodeBench/291,14.0,0,1,0,1.0,0.0
BigCodeBench/292,13.0,0,0,0,1.0,0.0
BigCodeBench/293,10.0,0,0,0,1.0,0.0
BigCodeBench/294,12.0,0,0,0,2.0,1.0
BigCodeBench/295,14.0,0,0,0,1.0,0.0
BigCodeBench/296,9.0,0,1,0,2.0,1.0
BigCodeBench/297,8.0,0,0,0,2.0,1.0
BigCodeBench/298,20.0,0,1,0,3.0,2.0
BigCodeBench/299,13.0,0,0,0,3.0,2.0
BigCodeBench/300,19.0,0,1,0,3.0,2.0
BigCodeBench/301,13.0,0,1,0,1.0,0.0
BigCodeBench/302,16.0,0,0,0,4.0,3.0
BigCodeBench/303,22.0,0,1,0,1.0,0.0
BigCodeBench/304,18.0,0,2,0,2.0,1.0
BigCodeBench/305,13.0,0,1,0,4.0,5.0
BigCodeBench/306,15.0,0,0,0,6.0,8.0
BigCodeBench/307,22.0,0,1,0,4.0,6.0
BigCodeBench/308,18.0,0,1,0,4.0,4.0
BigCodeBench/309,11.0,0,1,0,3.0,3.0
BigCodeBench/310,29.0,0,0,0,2.0,1.0
BigCodeBench/311,28.0,0,1,0,4.0,4.0
BigCodeBench/312,12.0,0,1,0,1.0,0.0
BigCodeBench/313,20.0,0,0,0,5.0,10.0
BigCodeBench/314,16.0,0,3,0,2.0,1.0
BigCodeBench/315,25.0,0,1,0,3.0,5.0
BigCodeBench/316,11.0,0,0,0,2.0,1.0
BigCodeBench/317,10.0,0,0,0,1.0,0.0
BigCodeBench/318,17.0,0,1,0,2.0,1.0
BigCodeBench/319,9.0,0,1,0,1.0,0.0
BigCodeBench/320,10.0,0,0,0,2.0,1.0
BigCodeBench/321,15.0,0,0,0,2.0,2.0
BigCodeBench/322,18.0,0,0,0,1.0,2.0
BigCodeBench/323,19.0,0,0,0,3.0,2.0
BigCodeBench/324,15.0,0,0,0,4.0,3.0
BigCodeBench/325,11.0,0,0,0,2.0,1.0
BigCodeBench/326,15.0,0,0,0,2.0,3.0
BigCodeBench/327,13.0,0,0,0,3.0,3.0
BigCodeBench/328,11.0,0,0,0,2.0,1.0
BigCodeBench/329,13.0,0,0,0,3.0,2.0
BigCodeBench/330,8.0,0,0,0,1.0,0.0
BigCodeBench/331,7.0,0,0,0,1.0,0.0
BigCodeBench/332,11.0,0,0,0,2.0,0.0
BigCodeBench/333,12.0,0,0,0,1.0,0.0
BigCodeBench/334,14.0,0,0,0,1.0,0.0
BigCodeBench/335,9.0,0,0,0,1.0,0.0
BigCodeBench/336,15.0,0,1,0,3.0,3.0
BigCodeBench/337,18.0,0,1,0,2.0,1.0
BigCodeBench/338,24.0,0,1,0,5.0,7.0
BigCodeBench/339,12.0,0,0,0,2.0,1.0
BigCodeBench/340,9.0,0,0,0,1.0,0.0
BigCodeBench/341,22.0,0,0,0,4.0,3.0
BigCodeBench/342,11.0,0,1,0,1.0,0.0
BigCodeBench/343,18.0,0,1,0,5.0,4.0
BigCodeBench/344,13.0,0,1,0,2.0,2.0
BigCodeBench/345,16.0,0,2,0,7.0,6.0
BigCodeBench/346,16.0,0,2,0,3.0,4.0
BigCodeBench/347,16.0,0,0,0,4.0,4.0
BigCodeBench/348,13.0,0,0,0,4.0,1.0
BigCodeBench/349,10.0,0,1,0,1.0,0.0
BigCodeBench/350,36.0,0,0,0,5.0,8.0
BigCodeBench/351,19.0,0,0,0,2.0,1.0
BigCodeBench/352,14.0,0,1,0,2.0,1.0
BigCodeBench/353,21.0,0,0,0,2.0,1.0
BigCodeBench/354,22.0,0,1,0,4.0,6.0
BigCodeBench/355,17.0,0,0,0,1.0,0.0
BigCodeBench/356,20.0,0,1,0,6.0,6.0
BigCodeBench/357,18.0,0,0,0,2.0,1.0
BigCodeBench/358,16.0,0,3,0,3.0,3.0
BigCodeBench/359,17.0,0,1,0,1.0,0.0
BigCodeBench/360,22.0,0,0,0,2.0,2.0
BigCodeBench/361,14.0,0,2,0,1.0,2.0
BigCodeBench/362,12.0,0,0,0,3.0,2.0
BigCodeBench/363,12.0,0,0,0,4.0,2.0
BigCodeBench/364,28.0,0,0,0,2.0,1.0
BigCodeBench/365,11.0,0,0,0,1.0,0.0
BigCodeBench/366,13.0,0,1,0,1.0,0.0
BigCodeBench/367,24.0,0,1,0,3.0,2.0
BigCodeBench/368,10.0,0,1,0,1.0,0.0
BigCodeBench/369,15.0,0,0,0,1.0,0.0
BigCodeBench/370,18.0,0,1,0,3.0,2.0
BigCodeBench/371,8.0,0,0,0,1.0,0.0
BigCodeBench/372,17.0,0,0,0,3.0,3.0
BigCodeBench/373,15.0,0,1,0,3.0,1.0
BigCodeBench/374,23.0,0,1,0,6.0,15.0
BigCodeBench/375,13.0,0,2,0,1.0,0.0
BigCodeBench/376,10.0,0,1,0,2.0,0.0
BigCodeBench/377,15.0,0,0,0,1.0,0.0
BigCodeBench/378,27.0,0,0,0,4.0,5.0
BigCodeBench/379,8.0,0,1,0,1.0,0.0
BigCodeBench/380,21.0,0,0,0,5.0,7.0
BigCodeBench/381,20.0,0,2,0,3.0,2.0
BigCodeBench/382,14.0,0,0,0,1.0,0.0
BigCodeBench/383,19.0,0,0,0,2.0,1.0
BigCodeBench/384,11.0,0,1,0,2.0,1.0
BigCodeBench/385,17.0,0,1,0,4.0,4.0
BigCodeBench/386,8.0,0,1,0,1.0,0.0
BigCodeBench/387,17.0,0,2,0,3.0,4.0
BigCodeBench/388,15.0,0,0,0,4.0,6.0
BigCodeBench/389,15.0,0,1,0,6.0,8.0
BigCodeBench/390,14.0,0,0,0,3.0,2.0
BigCodeBench/391,18.0,0,0,0,4.0,5.0
BigCodeBench/392,16.0,0,1,0,2.0,1.0
BigCodeBench/393,19.0,0,1,0,1.0,0.0
BigCodeBench/394,7.0,0,0,0,1.0,0.0
BigCodeBench/395,24.0,0,0,0,5.0,5.0
BigCodeBench/396,17.0,0,2,0,1.0,0.0
BigCodeBench/397,16.0,0,3,0,2.0,3.0
BigCodeBench/398,12.0,0,0,0,4.0,4.0
BigCodeBench/399,19.0,0,0,0,3.0,2.0
BigCodeBench/400,13.0,0,0,0,3.0,5.0
BigCodeBench/401,13.0,0,0,0,1.0,0.0
BigCodeBench/402,21.0,0,0,0,4.0,7.0
BigCodeBench/403,19.0,0,1,0,2.0,1.0
BigCodeBench/404,11.0,0,0,0,2.0,1.0
BigCodeBench/405,11.0,0,1,0,1.0,0.0
BigCodeBench/406,18.0,0,1,0,2.0,1.0
BigCodeBench/407,19.0,0,1,0,4.0,3.0
BigCodeBench/408,12.0,0,0,0,1.0,0.0
BigCodeBench/409,20.0,0,1,0,3.0,2.0
BigCodeBench/410,21.0,0,1,0,3.0,3.0
BigCodeBench/411,10.0,0,0,0,2.0,1.0
BigCodeBench/412,12.0,0,0,0,2.0,1.0
BigCodeBench/413,18.0,0,0,0,1.0,0.0
BigCodeBench/414,14.0,0,0,0,3.0,4.0
BigCodeBench/415,2.0,0,0,0,0.0,0.0
BigCodeBench/416,10.0,0,0,0,3.0,2.0
BigCodeBench/417,21.0,0,0,0,1.0,0.0
BigCodeBench/418,22.0,0,0,0,1.0,0.0
BigCodeBench/419,19.0,0,0,0,1.0,0.0
BigCodeBench/420,11.0,0,0,0,1.0,0.0
