TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/112,14.0,0,1,0,3.0,2.0
BigCodeBench/113,16.0,0,1,0,4.0,3.0
BigCodeBench/114,11.0,0,0,0,3.0,2.0
BigCodeBench/115,10.0,0,0,0,2.0,1.0
BigCodeBench/116,12.0,0,1,0,1.0,0.0
BigCodeBench/117,16.0,0,2,0,4.0,3.0
BigCodeBench/118,13.0,0,0,0,4.0,2.0
BigCodeBench/119,12.0,0,0,0,1.0,0.0
BigCodeBench/120,15.0,0,0,0,5.0,4.0
BigCodeBench/121,22.0,0,6,0,2.0,1.0
BigCodeBench/122,7.0,0,1,0,1.0,0.0
BigCodeBench/123,11.0,0,1,0,3.0,2.0
BigCodeBench/124,24.0,0,2,0,5.0,5.0
BigCodeBench/125,14.0,0,1,0,3.0,3.0
BigCodeBench/126,24.0,0,1,0,2.0,1.0
BigCodeBench/127,15.0,0,3,0,4.0,4.0
BigCodeBench/128,30.0,0,2,0,3.0,6.0
BigCodeBench/129,19.0,0,0,0,5.0,5.0
BigCodeBench/130,10.0,0,1,0,1.0,0.0
BigCodeBench/131,10.0,0,1,0,1.0,0.0
BigCodeBench/132,16.0,0,2,0,3.0,2.0
BigCodeBench/133,19.0,0,1,0,3.0,2.0
BigCodeBench/134,15.0,0,1,0,3.0,2.0
BigCodeBench/135,13.0,0,0,0,3.0,2.0
BigCodeBench/136,18.0,0,4,0,3.0,2.0
BigCodeBench/137,10.0,0,0,0,3.0,2.0
BigCodeBench/138,12.0,0,0,0,3.0,2.0
BigCodeBench/139,11.0,0,0,0,5.0,3.0
BigCodeBench/140,13.0,0,0,0,4.0,3.0
BigCodeBench/141,15.0,0,1,0,3.0,2.0
BigCodeBench/142,17.0,0,0,0,1.0,0.0
BigCodeBench/143,17.0,0,1,0,1.0,0.0
BigCodeBench/144,16.0,0,0,0,3.0,6.0
BigCodeBench/145,12.0,0,0,0,3.0,2.0
BigCodeBench/146,13.0,0,0,0,2.0,3.0
BigCodeBench/147,21.0,0,1,0,3.0,2.0
BigCodeBench/148,6.0,0,0,0,1.0,0.0
BigCodeBench/149,9.0,0,0,0,2.0,1.0
BigCodeBench/150,17.0,0,3,0,1.0,0.0
BigCodeBench/151,20.0,0,1,0,2.0,1.0
BigCodeBench/152,19.0,0,0,0,4.0,4.0
BigCodeBench/153,9.0,0,0,0,2.0,1.0
BigCodeBench/154,16.0,0,0,0,4.0,4.0
BigCodeBench/155,12.0,0,1,0,1.0,0.0
BigCodeBench/156,14.0,0,1,0,1.0,0.0
BigCodeBench/157,12.0,0,0,0,3.0,2.0
BigCodeBench/158,12.0,0,0,0,1.0,0.0
BigCodeBench/159,10.0,0,2,0,1.0,0.0
BigCodeBench/160,14.0,0,0,0,3.0,2.0
BigCodeBench/161,18.0,0,0,0,3.0,3.0
BigCodeBench/162,14.0,0,1,0,1.0,0.0
BigCodeBench/163,13.0,0,1,0,2.0,1.0
BigCodeBench/164,14.0,0,2,0,1.0,0.0
BigCodeBench/165,18.0,0,0,0,1.0,0.0
BigCodeBench/166,15.0,0,0,0,7.0,7.0
BigCodeBench/167,17.0,0,1,0,2.0,1.0
BigCodeBench/168,16.0,0,2,0,1.0,0.0
BigCodeBench/169,16.0,0,1,0,3.0,2.0
BigCodeBench/170,10.0,0,1,0,2.0,1.0
BigCodeBench/171,12.0,0,1,0,1.0,0.0
BigCodeBench/172,10.0,0,0,0,2.0,2.0
BigCodeBench/173,7.0,0,1,0,1.0,0.0
BigCodeBench/174,8.0,0,1,0,2.0,1.0
BigCodeBench/175,13.0,0,0,0,2.0,1.0
BigCodeBench/176,11.0,0,0,0,2.0,3.0
BigCodeBench/177,16.0,0,0,0,6.0,6.0
BigCodeBench/178,9.0,0,2,0,2.0,1.0
BigCodeBench/179,17.0,0,0,0,3.0,2.0
BigCodeBench/180,24.0,0,1,0,4.0,4.0
BigCodeBench/181,10.0,0,0,0,1.0,0.0
BigCodeBench/182,11.0,0,1,0,1.0,0.0
BigCodeBench/183,7.0,0,0,0,1.0,0.0
BigCodeBench/184,21.0,0,1,0,1.0,0.0
BigCodeBench/185,15.0,0,4,0,6.0,3.0
BigCodeBench/186,14.0,0,0,0,5.0,5.0
BigCodeBench/187,12.0,0,4,0,5.0,2.0
BigCodeBench/188,13.0,0,0,0,3.0,4.0
BigCodeBench/189,14.0,0,1,0,3.0,4.0
BigCodeBench/190,18.0,0,0,0,2.0,1.0
BigCodeBench/191,11.0,0,1,0,3.0,4.0
BigCodeBench/192,21.0,0,1,0,2.0,1.0
BigCodeBench/193,10.0,0,1,0,1.0,0.0
BigCodeBench/194,8.0,0,2,0,1.0,0.0
BigCodeBench/195,10.0,0,0,0,2.0,1.0
BigCodeBench/196,12.0,0,1,0,2.0,1.0
BigCodeBench/197,14.0,0,2,0,1.0,0.0
BigCodeBench/198,14.0,0,0,0,2.0,0.0
BigCodeBench/199,22.0,0,0,0,6.0,5.0
BigCodeBench/200,13.0,0,0,0,3.0,0.0
BigCodeBench/201,18.0,0,1,0,3.0,2.0
BigCodeBench/202,8.0,0,1,0,1.0,0.0
BigCodeBench/203,17.0,1,0,0,1.0,0.0
BigCodeBench/204,17.0,0,2,0,1.0,0.0
BigCodeBench/205,12.0,0,0,0,3.0,1.0
BigCodeBench/206,12.0,0,0,0,2.0,1.0
BigCodeBench/207,10.0,0,0,0,2.0,2.0
BigCodeBench/208,14.0,0,2,0,2.0,1.0
BigCodeBench/209,15.0,0,1,0,1.0,0.0
BigCodeBench/210,15.0,0,1,0,1.0,0.0
BigCodeBench/211,9.0,0,0,0,1.0,0.0
BigCodeBench/212,15.0,0,1,0,1.0,0.0
BigCodeBench/213,14.0,0,1,0,1.0,0.0
BigCodeBench/214,11.0,0,2,0,2.0,1.0
BigCodeBench/215,19.0,0,2,0,2.0,1.0
BigCodeBench/216,14.0,0,0,0,2.0,1.0
BigCodeBench/217,17.0,0,2,0,1.0,0.0
BigCodeBench/218,30.0,0,1,0,5.0,4.0
BigCodeBench/219,15.0,0,0,0,1.0,0.0
BigCodeBench/220,114.0,1,1,0,2.0,1.0
BigCodeBench/221,17.0,0,0,0,5.0,5.0
BigCodeBench/222,13.0,0,1,0,1.0,0.0
BigCodeBench/223,14.0,0,0,0,6.0,6.0
BigCodeBench/224,18.0,0,1,0,1.0,0.0
BigCodeBench/225,19.0,0,0,0,9.0,12.0
BigCodeBench/226,14.0,0,0,0,1.0,0.0
BigCodeBench/227,25.0,0,5,0,2.0,1.0
BigCodeBench/228,11.0,0,0,0,3.0,2.0
BigCodeBench/229,21.0,0,1,0,3.0,2.0
BigCodeBench/230,17.0,0,1,0,2.0,1.0
BigCodeBench/231,22.0,0,3,0,2.0,0.0
BigCodeBench/232,11.0,0,0,0,2.0,1.0
BigCodeBench/233,21.0,0,1,0,3.0,2.0
BigCodeBench/234,17.0,0,0,0,2.0,1.0
BigCodeBench/235,21.0,0,2,0,1.0,0.0
BigCodeBench/236,14.0,0,1,0,2.0,1.0
BigCodeBench/237,19.0,0,2,0,4.0,3.0
